,prix,Cylindree,Puissance,Poids,Consommation
Dalhatsu,11600.0,846.0,32.0,650.0,5.7
Suzuki_Swift,12490.0,993.0,39.0,750.0,5.8
Fiat_Panda,10450.0,899.0,29.0,730.0,6.1
Polo,17140.0,1390.0,44.0,955.0,6.5
Opel_Corsa,14825.0,1195.0,33.0,895.0,6.8
Subaru,13730.0,658.0,32.0,740.0,6.8
Toyota,19490.0,1331.0,55.0,1010.0,7.1
Ferrari,285000.0,5474.0,325.0,1690.0,21.2
Mercedes,183900.0,5987.0,300.0,2250.0,18.7
Maserati,92500.0,2789.0,209.0,1485.0,14.5
Oprel_Astra,25000.0,1597.0,74.0,1080.0,7.4
Peugeot_306,22350.0,1761.0,74.0,1100.0,9.0
Safrane,36600.0,2165.0,101.0,1500.0,11.7
Seat_Ibiza,22500.0,1983.0,85.0,1075.0,9.5
Golf,31580.0,1984.0,85.0,1155.0,9.5
Citroen,28750.0,1998.0,89.0,1140.0,8.8
Fiat_Escort,22600.0,1580.0,65.0,1080.0,9.3
Ford_Escort2,20300.0,1390.0,54.0,1110.0,8.6
Honda_Civic,19900.0,1396.0,66.0,1140.0,7.7
Volvo_850,39800.0,2435.0,106.0,1370.0,10.8
Ford_Fiesta,19740.0,1242.0,55.0,940.0,6.6
Hyundai,38990.0,2972.0,107.0,1400.0,11.7
Lancia,50800.0,2958.0,150.0,1550.0,11.9
Mazda,36200.0,2497.0,122.0,1330.0,10.8
Mitsubishi,31950.0,1998.0,66.0,1300.0,7.6
Opel_Omega,47700.0,2496.0,125.0,1670.0,11.3
Peugot_806,36950.0,1998.0,89.0,1560.0,10.8
Nissan,26950.0,1997.0,92.0,1240.0,9.2
Seat,36400.0,1984.0,85.0,1635.0,11.6
Toyota_Previa,50900.0,2438.0,97.0,1800.0,12.8
Volvo_960,49300.0,2473.0,125.0,1570.0,12.7
