,Classe,Chapeau,Surface Chapeau,Couleur Chapeau,bruises,Odeur,Lamelles,Espacement des lamelles,Taille des lamelles,Couleur des lamelles,Tige,Surface au dessus de anneau,Surface sous anneau,Couleur sur anneau,Couleur sous anneau,Couleur du voile,Nombre anneaux,Type anneau,Coleur des spores,Population,Habitat
0,Toxique,Convexe,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Urbains
1,Comestible,Convexe,Lisse,Jaune,True,Amande,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
2,Comestible,Cloche,Lisse,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
3,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Urbains
4,Comestible,Convexe,Lisse,Gris,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
5,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
6,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
7,Comestible,Cloche,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
8,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Herbes
9,Comestible,Cloche,Lisse,Jaune,True,Amande,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
10,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
11,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
12,Comestible,Cloche,Lisse,Jaune,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
13,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
14,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Fibreux,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
15,Comestible,,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Urbains
16,Comestible,Plat,Fibreux,Blanc,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
17,Toxique,Convexe,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
18,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Urbains
19,Toxique,Convexe,Lisse,Marron,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Urbains
20,Comestible,Cloche,Lisse,Jaune,True,Amande,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
21,Toxique,Convexe,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Herbes
22,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
23,Comestible,Cloche,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
24,Comestible,Cloche,Lisse,Blanc,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
25,Toxique,Plat,Lisse,Blanc,True,Pinquante,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Herbes
26,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
27,Comestible,Convexe,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
28,Comestible,Plat,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Urbains
29,Comestible,Convexe,Lisse,Jaune,True,Amande,Libre,Eloigné,Etroit,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
30,Comestible,Cloche,Lisse,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
31,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Urbains
32,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
33,Comestible,Convexe,Ecailleux,Marron,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Chemins
34,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
35,Comestible,Convexe,Fibreux,Jaune,True,Anis,Libre,Eloigné,Etroit,Blanc,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
36,Comestible,,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Urbains
37,Toxique,Convexe,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Urbains
38,Comestible,Convexe,Fibreux,Jaune,True,Amande,Libre,Eloigné,Etroit,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
39,Comestible,Cloche,Lisse,Jaune,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
40,Comestible,Cloche,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
41,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Chemins
42,Comestible,Convexe,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Urbains
43,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Herbes
44,Comestible,Convexe,Lisse,Jaune,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Prés
45,Comestible,Convexe,Ecailleux,Blanc,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
46,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
47,Comestible,Convexe,Lisse,Blanc,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
48,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Chemins
49,Comestible,Plat,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Chemins
50,Comestible,Convexe,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
51,Comestible,Convexe,Lisse,Blanc,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
52,Comestible,Cloche,Lisse,Blanc,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
53,Toxique,Convexe,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
54,Toxique,Convexe,Lisse,Blanc,True,Pinquante,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Plusieurs,Urbains
55,Comestible,Cloche,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Prés
56,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Abondante,Herbes
57,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Herbes
58,Comestible,Convexe,Lisse,Jaune,True,Anis,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
59,Comestible,Convexe,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Chemins
60,Comestible,,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
61,Comestible,Cloche,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
62,Comestible,Cloche,Lisse,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
63,Comestible,Cloche,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Nombreuse,Prés
64,Comestible,Cloche,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
65,Comestible,Plat,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Abondante,Herbes
66,Comestible,Convexe,Lisse,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
67,Comestible,Plat,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
68,Comestible,Convexe,Ecailleux,Jaune,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Nombreuse,Herbes
69,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Rose,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
70,Comestible,Plat,Fibreux,Jaune,True,Anis,Libre,Eloigné,Etroit,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
71,Comestible,Cloche,Ecailleux,Blanc,True,Anis,Libre,Proche,Large,Gris,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Prés
72,Comestible,Plat,Fibreux,Jaune,True,Anis,Libre,Eloigné,Etroit,Blanc,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
73,Comestible,Convexe,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Chemins
74,Comestible,Cloche,Lisse,Jaune,True,Amande,Libre,Proche,Large,Noir,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
75,Comestible,Plat,Lisse,Jaune,True,Anis,Libre,Eloigné,Etroit,Rose,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Bois
76,Comestible,Convexe,Lisse,Blanc,True,Anis,Libre,Eloigné,Etroit,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Violet,Plusieurs,Bois
77,Comestible,Plat,Ecailleux,Marron,True,Anis,Libre,Proche,Large,Rose,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Chemins
78,Toxique,Convexe,Ecailleux,Marron,True,Pinquante,Libre,Proche,Etroit,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
79,Comestible,Plat,Ecailleux,Marron,True,Amande,Libre,Proche,Large,Marron,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Herbes
80,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Fibreux,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
81,Toxique,Convexe,Ecailleux,Blanc,True,Pinquante,Libre,Proche,Etroit,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
82,Comestible,Plat,Fibreux,Gris,False,Aucune,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Solitaire,Urbains
83,Comestible,Convexe,Fibreux,Gris,False,Aucune,Libre,Eloigné,Large,Marron,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Marron,Dispersé,Herbes
84,Comestible,Convexe,Ecailleux,Jaune,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
85,Comestible,Convexe,Lisse,Marron,False,Aucune,Libre,Eloigné,Large,Noir,Fine,Lisse,Lisse,Blanc,Blanc,Blanc,1,Evanescent,Black,Dispersé,Herbes
86,Comestible,Cloche,Lisse,Blanc,True,Amande,Libre,Proche,Large,Blanc,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Black,Dispersé,Herbes
87,Comestible,Convexe,Lisse,Blanc,True,Anis,Libre,Proche,Large,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Dispersé,Herbes
88,Comestible,Plat,Ecailleux,Marron,True,Anis,Libre,Proche,Large,Blanc,Large,Lisse,Ecailleux,Blanc,Blanc,Blanc,1,Pendentif,Black,Solitaire,Herbes
89,Comestible,,Fibreux,Marron,False,Aucune,Libre,Proche,Etroit,Marron,Large,Lisse,Lisse,Blanc,Blanc,Blanc,1,Pendentif,Marron,Plusieurs,Urbains
